dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.167787,14.258300,0.000731,0.073055,3.652753,182.637654,6.283033
0.020000,3.171455,14.258298,0.004399,0.183415,5.517995,93.262110,6.282322
0.020000,3.179710,14.258284,0.012654,0.412766,11.467535,297.476973,6.280722
0.020000,3.193474,14.258232,0.026418,0.688194,13.771396,115.193068,6.278050
0.020000,3.212753,14.258097,0.045698,0.963993,13.789966,0.928480,6.274299
0.020000,3.237558,14.257817,0.070504,1.240302,13.815459,1.274672,6.269460
0.020000,3.267898,14.257310,0.100849,1.517249,13.847349,1.594471,6.263520
0.020000,3.303788,14.256478,0.136748,1.794947,13.884905,1.877827,6.256465
0.020000,3.345238,14.255200,0.178218,2.073491,13.927173,2.113372,6.248280
0.020000,3.392260,14.253338,0.225277,2.352949,13.972933,2.288030,6.238945
0.020000,3.444863,14.250733,0.277944,2.633362,14.020649,2.385803,6.228444
0.020000,3.503051,14.247204,0.336239,2.914731,14.068431,2.389078,6.216758
0.020000,3.566821,14.242549,0.400179,3.197010,14.113975,2.277233,6.203870
0.020000,3.636164,14.236546,0.469781,3.480101,14.154526,2.027507,6.189764
0.020000,3.711056,14.228949,0.545057,3.763837,14.186830,1.615242,6.174428
0.020000,3.791462,14.219496,0.626017,4.047980,14.207124,1.014678,6.157854
0.020000,3.877327,14.207900,0.712661,4.332203,14.211134,0.200491,6.140041
0.020000,3.968575,14.193861,0.804983,4.616085,14.194117,-0.850862,6.120994
0.020000,4.065105,14.177060,0.902965,4.899104,14.150965,-2.157601,6.100732
0.020000,4.166791,14.157168,1.006578,5.180631,14.076347,-3.730879,6.079281
0.020000,4.273470,14.133849,1.115776,5.459930,13.964952,-5.569727,6.056684
0.020000,4.384950,14.106763,1.230499,5.736166,13.811785,-7.658376,6.033000
0.020000,4.501001,14.075575,1.350668,6.008417,13.612534,-9.962543,6.008304
0.020000,4.621356,14.039960,1.476182,6.275697,13.363999,-12.426730,5.982692
0.020000,4.745714,13.999613,1.606921,6.536987,13.064515,-14.974231,5.956277
0.020000,4.873742,13.954255,1.742747,6.791274,12.714342,-17.508624,5.929192
