dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.167467,12.158300,0.000731,0.073055,3.652753,182.637654,6.283033
0.020000,3.169643,12.158299,0.002907,0.108805,1.787511,-93.262109,6.282322
0.020000,3.174537,12.158291,0.007801,0.244730,6.796228,250.435831,6.280722
0.020000,3.182690,12.158260,0.015954,0.407632,8.145108,67.444047,6.278050
0.020000,3.194093,12.158180,0.027357,0.570163,8.126525,-0.929170,6.274299
0.020000,3.208736,12.158014,0.042001,0.732183,8.101007,-1.275882,6.269460
0.020000,3.226604,12.157716,0.059872,0.893564,8.069089,-1.595915,6.263520
0.020000,3.247683,12.157227,0.080956,1.054194,8.031496,-1.879667,6.256465
0.020000,3.271951,12.156479,0.105236,1.213978,7.989181,-2.115731,6.248280
0.020000,3.299386,12.155393,0.132692,1.372845,7.943369,-2.290614,6.238945
0.020000,3.329964,12.153879,0.163308,1.530757,7.895589,-2.389007,6.228444
0.020000,3.363656,12.151835,0.197062,1.687712,7.847735,-2.392704,6.216758
0.020000,3.400433,12.149151,0.233937,1.843754,7.802108,-2.281336,6.203870
0.020000,3.440264,12.145703,0.273917,1.998983,7.761466,-2.032097,6.189764
0.020000,3.483115,12.141357,0.316988,2.153565,7.729060,-1.620293,6.174428
0.020000,3.528955,12.135967,0.363143,2.307738,7.708656,-1.020198,6.157854
0.020000,3.577748,12.129378,0.412379,2.461828,7.704531,-0.206245,6.140041
0.020000,3.629465,12.121421,0.464704,2.616257,7.721426,0.844752,6.120994
0.020000,3.684075,12.111917,0.520135,2.771546,7.764459,2.151640,6.100732
0.020000,3.741552,12.100673,0.578702,2.928325,7.838959,3.724999,6.079281
0.020000,3.801874,12.087487,0.640448,3.087330,7.950247,5.564376,6.056684
0.020000,3.865025,12.072143,0.705436,3.249397,8.103325,7.653942,6.033000
0.020000,3.930993,12.054414,0.773745,3.415447,8.302511,9.959275,6.008304
0.020000,3.999774,12.034060,0.845475,3.586467,8.551014,12.425163,5.982692
0.020000,4.071369,12.010830,0.920744,3.763477,8.850508,14.974694,5.956277
0.020000,4.145786,11.984463,0.999694,3.947492,9.200738,17.511474,5.929192
0.020000,4.223036,11.954690,1.082483,4.139477,9.599228,19.924504,5.901590
0.020000,4.303136,11.921233,1.169289,4.340300,10.041154,22.096334,5.873639
0.020000,4.386101,11.883814,1.260303,4.550688,10.519430,23.913758,5.845521
0.020000,4.471949,11.842150,1.355727,4.771189,11.025023,25.279677,5.817428
0.020000,4.560695,11.795968,1.455770,5.002139,11.547515,26.124599,5.789560
0.020000,4.652350,11.745000,1.560643,5.243656,12.075827,26.415599,5.762118
0.020000,4.746924,11.688996,1.670556,5.495637,12.599050,26.161157,5.735301
0.020000,4.844426,11.627724,1.785711,5.757782,13.107270,25.410999,5.709302
0.020000,4.944861,11.560975,1.906304,6.029628,13.592289,24.250937,5.684307
0.020000,5.048239,11.488571,2.032516,6.310591,14.048165,22.793814,5.660489
0.020000,5.154576,11.410363,2.164516,6.600022,14.471531,21.168291,5.638009
0.020000,5.263899,11.326236,2.302461,6.897255,14.861678,19.507376,5.617015
0.020000,5.376251,11.236110,2.446494,7.201664,15.220450,17.938554,5.597646
0.020000,5.491697,11.139941,2.596749,7.512704,15.551980,16.576498,5.580025
0.020000,5.610328,11.037716,2.753348,7.829951,15.862360,15.519009,5.564273
0.020000,5.732270,10.929459,2.916410,8.153137,16.159278,14.845898,5.550502
0.020000,5.857691,10.815229,3.086054,8.482170,16.451681,14.620175,5.538823
0.020000,5.986801,10.695114,3.262397,8.817160,16.749501,14.890988,5.529350
0.020000,6.119867,10.569241,3.445565,9.158429,17.063436,15.696747,5.522203
0.020000,6.256697,10.438264,3.634979,9.470663,15.611699,-72.586868,5.517524
0.020000,6.396619,10.303417,3.829302,9.716183,12.276014,-166.784237,5.515434
0.020000,6.538741,10.166241,4.026827,9.876253,8.003492,-213.626069,5.515990
0.020000,6.682138,10.028352,4.225765,9.946862,3.530464,-223.651409,5.519172
0.020000,6.826048,9.891199,4.424563,9.939941,-0.346064,-193.826433,5.524895
0.020000,6.969863,9.756028,4.621931,9.868398,-3.577157,-161.554618,5.533028
0.020000,7.113459,9.623550,4.817304,9.768610,-4.989383,-70.611298,5.543435
0.020000,7.256995,9.494149,5.010558,9.662701,-5.295451,-15.303392,5.555999
0.020000,7.400596,9.368185,5.201576,9.550904,-5.589883,-14.721631,5.570609
0.020000,7.544349,9.245999,5.390241,9.433242,-5.883082,-14.659957,5.587152
0.020000,7.688300,9.127910,5.576432,9.309550,-6.184597,-15.075729,5.605515
0.020000,7.832453,9.014220,5.760021,9.179492,-6.502885,-15.914377,5.625575
0.020000,7.976759,8.905211,5.940873,9.042592,-6.845006,-17.106092,5.647203
0.020000,8.121124,8.801142,6.118839,8.898266,-7.216281,-18.563726,5.670257
0.020000,8.265400,8.702246,6.293756,8.745868,-7.619925,-20.182203,5.694582
0.020000,8.409391,8.608726,6.465451,8.584733,-8.056746,-21.841044,5.720014
0.020000,8.552848,8.520751,6.633735,8.414234,-8.524938,-23.409591,5.746372
0.020000,8.695481,8.438445,6.798412,8.233833,-9.020049,-24.755548,5.773469
0.020000,8.836959,8.361890,6.959275,8.043130,-9.535161,-25.755616,5.801109
0.020000,8.976921,8.291117,7.116113,7.841904,-10.061303,-26.307086,5.829090
0.020000,9.114982,8.226103,7.268716,7.630143,-10.588069,-26.338343,5.857212
0.020000,9.250745,8.166773,7.416877,7.408055,-11.104399,-25.816480,5.885278
0.020000,9.383812,8.112999,7.560398,7.176067,-11.599408,-24.750447,5.913099
0.020000,9.513791,8.064604,7.699094,6.934803,-12.063190,-23.189077,5.940500
0.020000,9.640308,8.021367,7.832795,6.685053,-12.487478,-21.214397,5.967317
0.020000,9.763012,7.983027,7.961350,6.427731,-12.866107,-18.931461,5.993408
0.020000,9.881584,7.949294,8.084626,6.163826,-13.195234,-16.456377,6.018646
0.020000,9.995735,7.919853,8.202513,5.894360,-13.473332,-13.904891,6.042925
0.020000,10.105217,7.894375,8.314920,5.620340,-13.700984,-11.382580,6.066159
0.020000,10.209813,7.872522,8.421775,5.342729,-13.880545,-8.978067,6.088280
0.020000,10.309344,7.853955,8.523023,5.062415,-14.015728,-6.759155,6.109235
0.020000,10.403664,7.838339,8.618627,4.780191,-14.111176,-4.772374,6.128990
0.020000,10.492656,7.825351,8.708562,4.496750,-14.172054,-3.043940,6.147519
0.020000,10.576231,7.814678,8.792815,4.212676,-14.203712,-1.582887,6.164812
0.020000,10.654322,7.806027,8.871384,3.928448,-14.211408,-0.384792,6.180866
0.020000,10.726883,7.799120,8.944273,3.644445,-14.200112,0.564798,6.195684
0.020000,10.793883,7.793701,9.011492,3.360958,-14.174375,1.286873,6.209277
0.020000,10.855306,7.789536,9.073056,3.078193,-14.138261,1.805663,6.221659
0.020000,10.911145,7.786409,9.128982,2.796286,-14.095320,2.147067,6.232845
0.020000,10.961399,7.784130,9.179288,2.515314,-14.048590,2.336510,6.242854
0.020000,11.006076,7.782525,9.223994,2.235302,-14.000635,2.397757,6.251704
0.020000,11.045186,7.781444,9.263119,1.956230,-13.953578,2.352844,6.259413
0.020000,11.078740,7.780757,9.296680,1.678047,-13.909157,2.221054,6.265997
0.020000,11.106750,7.780352,9.324693,1.400672,-13.868768,2.019446,6.271473
0.020000,11.129229,7.780138,9.347173,1.124001,-13.833517,1.762526,6.275853
0.020000,11.146187,7.780042,9.364132,0.847916,-13.804261,1.462836,6.279150
0.020000,11.157633,7.780008,9.375577,0.572283,-13.781638,1.131127,6.281370
0.020000,11.163958,7.780001,9.381902,0.316255,-12.801425,49.010647,6.282596
0.020000,11.166469,7.780000,9.384413,0.125532,-9.536168,163.262828,6.283082
0.020000,11.167000,7.780000,9.384944,0.026558,-4.948660,229.375435,6.283185
0.020000,11.167000,7.780000,9.384944,0.000000,-1.327917,181.037137,6.283185
