dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.167627,13.208300,0.000731,0.073055,3.652753,182.637654,6.283033
0.020000,3.170549,13.208298,0.003653,0.219165,7.305506,182.637654,6.282322
0.020000,3.177124,13.208288,0.010228,0.438330,10.958259,182.637654,6.280722
0.020000,3.188082,13.208246,0.021186,0.657496,10.958259,0.000000,6.278050
0.020000,3.203423,13.208138,0.036528,0.876661,10.958259,-0.000000,6.274299
0.020000,3.223147,13.207915,0.056252,1.095826,10.958259,-0.000000,6.269460
0.020000,3.247251,13.207513,0.080361,1.314991,10.958259,0.000000,6.263520
0.020000,3.275735,13.206852,0.108852,1.534156,10.958259,-0.000000,6.256465
0.020000,3.308594,13.205840,0.141727,1.753321,10.958259,0.000000,6.248280
0.020000,3.345823,13.204366,0.178985,1.972487,10.958259,-0.000000,6.238945
0.020000,3.387413,13.202306,0.220626,2.191652,10.958259,0.000000,6.228444
0.020000,3.433353,13.199520,0.266651,2.410817,10.958259,0.000000,6.216758
0.020000,3.483627,13.195850,0.317059,2.629982,10.958259,0.000000,6.203870
0.020000,3.538214,13.191124,0.371850,2.849147,10.958259,0.000000,6.189764
0.020000,3.597086,13.185153,0.431025,3.068313,10.958259,-0.000000,6.174428
0.020000,3.660208,13.177731,0.494583,3.287478,10.958259,0.000000,6.157854
0.020000,3.727537,13.168639,0.562524,3.506643,10.958259,0.000000,6.140041
0.020000,3.799020,13.157641,0.634848,3.725808,10.958259,-0.000000,6.120994
0.020000,3.874590,13.144488,0.711556,3.944973,10.958259,0.000000,6.100732
0.020000,3.954171,13.128921,0.792647,4.164139,10.958259,0.000000,6.079281
0.020000,4.037672,13.110668,0.878122,4.383304,10.958259,-0.000000,6.056684
0.020000,4.124988,13.089453,0.967980,4.602469,10.958259,0.000000,6.033000
0.020000,4.215997,13.064994,1.062221,4.821634,10.958259,0.000000,6.008304
0.020000,4.310565,13.037010,1.160845,5.040799,10.958259,0.000000,5.982692
0.020000,4.408541,13.005221,1.263853,5.259964,10.958259,-0.000000,5.956277
0.020000,4.509764,12.969359,1.371244,5.479130,10.958259,0.000000,5.929192
0.020000,4.614058,12.929165,1.483018,5.698295,10.958259,0.000000,5.901590
0.020000,4.721239,12.884400,1.599175,5.917460,10.958259,-0.000000,5.873639
0.020000,4.831118,12.834845,1.719716,6.136625,10.958259,0.000000,5.845521
0.020000,4.943503,12.780306,1.844640,6.355790,10.958259,0.000000,5.817428
0.020000,5.058207,12.720620,1.973948,6.574956,10.958259,-0.000000,5.789560
0.020000,5.175046,12.655653,2.107639,6.794121,10.958259,0.000000,5.762118
0.020000,5.293851,12.585306,2.245713,7.013286,10.958259,-0.000000,5.735301
0.020000,5.414468,12.509513,2.388170,7.232451,10.958259,0.000000,5.709302
0.020000,5.536763,12.428242,2.535011,7.451616,10.958259,-0.000000,5.684307
0.020000,5.660628,12.341495,2.686235,7.670781,10.958259,0.000000,5.660489
0.020000,5.785983,12.249306,2.841842,7.889947,10.958259,-0.000000,5.638009
0.020000,5.912778,12.151740,3.001832,8.109112,10.958259,0.000000,5.617015
0.020000,6.040997,12.048892,3.166206,8.328277,10.958259,-0.000000,5.597646
0.020000,6.170659,11.940883,3.334964,8.547442,10.958259,0.000000,5.580025
0.020000,6.301822,11.827864,3.508104,8.766607,10.958259,-0.000000,5.564273
0.020000,6.434580,11.710011,3.685628,8.985773,10.958259,0.000000,5.550502
0.020000,6.569069,11.587525,3.867535,9.204938,10.958259,0.000000,5.538823
0.020000,6.705463,11.460637,4.053825,9.424103,10.958259,0.000000,5.529350
0.020000,6.843982,11.329607,4.244499,9.643268,10.958259,0.000000,5.522203
0.020000,6.984362,11.195234,4.438826,9.789378,7.305506,-182.637654,5.517524
0.020000,7.125864,11.058865,4.635344,9.862433,3.652753,-182.637654,5.515434
0.020000,7.267566,10.922094,4.832285,9.831695,-1.536924,-259.483843,5.515990
0.020000,7.408554,10.786520,5.027881,9.727901,-5.189677,-182.637654,5.519172
0.020000,7.548113,10.653513,5.220670,9.551053,-8.842430,-182.637654,5.524895
0.020000,7.685705,10.524188,5.409500,9.331888,-10.958259,-105.791466,5.533028
0.020000,7.821268,10.399118,5.593946,9.112722,-10.958259,0.000000,5.543435
0.020000,7.955004,10.278549,5.774009,8.893557,-10.958259,-0.000000,5.555999
0.020000,8.087071,10.162699,5.949688,8.674392,-10.958259,0.000000,5.570609
0.020000,8.217586,10.051761,6.120984,8.455227,-10.958259,-0.000000,5.587152
0.020000,8.346629,9.945897,6.287897,8.236062,-10.958259,0.000000,5.605515
0.020000,8.474241,9.845248,6.450427,8.016896,-10.958259,-0.000000,5.625575
0.020000,8.600425,9.749924,6.608573,7.797731,-10.958259,0.000000,5.647203
0.020000,8.725153,9.660007,6.762336,7.578566,-10.958259,-0.000000,5.670257
0.020000,8.848360,9.575549,6.911716,7.359401,-10.958259,0.000000,5.694582
0.020000,8.969955,9.496571,7.056712,7.140236,-10.958259,-0.000000,5.720014
0.020000,9.089818,9.423061,7.197325,6.921070,-10.958259,-0.000000,5.746372
0.020000,9.207807,9.354972,7.333555,6.701905,-10.958259,0.000000,5.773469
0.020000,9.323761,9.292226,7.465401,6.482740,-10.958259,0.000000,5.801109
0.020000,9.437503,9.234708,7.592865,6.263575,-10.958259,-0.000000,5.829090
0.020000,9.548850,9.182271,7.715944,6.044410,-10.958259,0.000000,5.857212
0.020000,9.657610,9.134740,7.834641,5.825245,-10.958259,0.000000,5.885278
0.020000,9.763592,9.091910,7.948954,5.606079,-10.958259,-0.000000,5.913099
0.020000,9.866610,9.053553,8.058884,5.386914,-10.958259,0.000000,5.940500
0.020000,9.966482,9.019421,8.164431,5.167749,-10.958259,0.000000,5.967317
0.020000,10.063038,8.989250,8.265594,4.948584,-10.958259,0.000000,5.993408
0.020000,10.156122,8.962768,8.362374,4.729419,-10.958259,0.000000,6.018646
0.020000,10.245589,8.939693,8.454771,4.510253,-10.958259,0.000000,6.042925
0.020000,10.331309,8.919744,8.542784,4.291088,-10.958259,-0.000000,6.066159
0.020000,10.413170,8.902641,8.626414,4.071923,-10.958259,0.000000,6.088280
0.020000,10.491072,8.888109,8.705661,3.852758,-10.958259,0.000000,6.109235
0.020000,10.564929,8.875881,8.780525,3.633593,-10.958259,0.000000,6.128990
0.020000,10.634669,8.865703,8.851005,3.414428,-10.958259,-0.000000,6.147519
