dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,113.991882,149.400000,0.007926,0.792604,39.630200,1981.509982,3.141489
0.020000,113.954094,149.400013,0.045715,1.889423,54.840971,760.538546,3.141006
0.020000,113.869036,149.400110,0.130772,4.252868,118.172249,3166.563928,3.139917
0.020000,113.727172,149.400477,0.272637,7.093262,142.019704,1192.372728,3.138094
0.020000,113.528345,149.401428,0.471466,9.941455,142.409643,19.496965,3.135524
0.020000,113.272338,149.403407,0.727481,12.800721,142.963260,27.680832,3.132189
0.020000,112.958869,149.407000,1.040970,15.674488,143.688363,36.255147,3.128068
0.020000,112.587588,149.412937,1.412298,18.566392,144.595234,45.343547,3.123130
0.020000,112.158080,149.422108,1.841905,21.480328,145.696763,55.076469,3.117342
0.020000,111.669856,149.435578,2.330315,24.420500,147.008609,65.592297,3.110661
0.020000,111.122356,149.454601,2.878145,27.391486,148.549286,77.033877,3.103038
0.020000,110.514948,149.480645,3.486110,30.398297,150.340558,89.563556,3.094417
0.020000,109.846924,149.515415,4.155039,33.446442,152.407250,103.334611,3.084731
0.020000,109.117500,149.560882,4.885879,36.541992,154.777522,118.513599,3.073907
0.020000,108.325821,149.619323,5.679712,39.691643,157.482524,135.250129,3.061857
0.020000,107.470966,149.693359,6.537767,42.902763,160.556034,153.675473,3.048484
0.020000,106.551956,149.786010,7.461436,46.183432,164.033434,173.870000,3.033678
0.020000,105.567772,149.900744,8.452285,49.542433,167.950066,195.831635,3.017315
0.020000,104.517384,150.041553,9.512069,52.989199,172.338285,219.410946,2.999254
0.020000,103.399788,150.213022,10.642742,56.533663,177.223175,244.244477,2.979341
0.020000,102.214069,150.420414,11.846461,60.185971,182.615445,269.613499,2.957405
0.020000,100.959487,150.669757,13.125581,63.956002,188.501507,294.303098,2.933258
0.020000,99.635600,150.967936,14.482633,67.852579,194.828873,316.368313,2.906700
0.020000,98.242432,151.322771,15.920279,71.882302,201.486170,332.864851,2.877519
0.020000,96.780702,151.743077,17.441236,76.047846,208.277193,339.551132,2.845499
