dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,113.994494,174.600000,0.007926,0.792604,39.630200,1981.509982,3.141489
0.020000,113.968874,174.600009,0.033546,1.280993,24.419436,-760.538189,3.141006
0.020000,113.911263,174.600074,0.091157,2.880567,79.978723,2777.964332,3.139917
0.020000,113.815348,174.600322,0.187073,4.795796,95.761430,789.135371,3.138094
0.020000,113.681285,174.600963,0.321138,6.703224,95.371400,-19.501503,3.135524
0.020000,113.509298,174.602293,0.493129,8.599577,94.817680,-27.685995,3.132189
0.020000,113.299683,174.604695,0.702758,10.481426,94.092414,-36.263280,3.128068
0.020000,113.052812,174.608642,0.949660,12.345132,93.185315,-45.354971,3.123130
0.020000,112.769141,174.614698,1.233396,14.186802,92.083504,-55.090538,3.117342
0.020000,112.449218,174.623523,1.553441,16.002229,90.771340,-65.608218,3.110661
0.020000,112.093696,174.635874,1.909178,17.786832,89.230183,-77.057839,3.103038
0.020000,111.703342,174.652608,2.299890,19.535600,87.438387,-89.589820,3.094417
0.020000,111.279056,174.674687,2.724750,21.243020,85.370988,-103.369947,3.084731
0.020000,110.821883,174.703178,3.182810,22.903017,82.999859,-118.556461,3.073907
0.020000,110.333034,174.739257,3.672988,24.508892,80.293763,-135.304787,3.061857
0.020000,109.813911,174.784207,4.194054,26.053270,77.218892,-153.743515,3.048484
0.020000,109.266125,174.839418,4.744615,27.528066,73.739781,-173.955554,3.033678
0.020000,108.691525,174.906387,5.323105,28.924487,69.821041,-195.937042,3.017315
0.020000,108.092221,174.986704,5.927766,30.233089,65.430119,-219.546081,2.999254
0.020000,107.470612,175.082047,6.556645,31.443927,60.541910,-244.410449,2.979341
0.020000,106.829404,175.194164,7.207582,32.546836,55.145460,-269.822515,2.957405
0.020000,106.171622,175.324851,7.878220,33.531921,49.254227,-294.561636,2.933258
0.020000,105.500612,175.475927,8.566027,34.390331,42.920521,-316.685294,2.906700
0.020000,104.820015,175.649205,9.268336,35.115440,36.255441,-333.254007,2.877519
0.020000,104.133710,175.846464,9.982426,35.704542,29.455113,-340.016376,2.845499
0.020000,103.445713,176.069428,10.705650,36.161194,22.832560,-331.127651,2.810430
0.020000,102.760020,176.319776,11.435615,36.498248,16.852721,-298.991959,2.772123
0.020000,102.080383,176.599184,12.170446,36.741514,12.163297,-234.471209,2.730428
0.020000,101.410028,176.909447,12.909119,36.933673,9.607940,-127.767826,2.685264
0.020000,100.751339,177.252684,13.651873,37.137688,10.200734,29.639659,2.636651
0.020000,100.105553,177.631648,14.400641,37.438411,15.036150,241.770803,2.584742
0.020000,99.472561,178.050121,15.159455,37.940690,25.113957,503.890344,2.529856
0.020000,98.850905,178.513318,15.934702,38.762345,41.082746,798.439463,2.472502
0.020000,98.238049,179.028188,16.735129,40.021377,62.951595,1093.442482,2.413372
0.020000,97.630925,179.603451,17.571505,41.818813,89.871803,1346.010379,2.353322
0.020000,97.026668,180.249263,18.455927,44.221055,120.112140,1512.016839,2.293311
0.020000,96.423320,180.976509,19.400869,47.247107,151.302601,1559.523051,2.234330
0.020000,95.820318,181.795836,20.418173,50.865204,180.904829,1480.111396,2.177317
0.020000,95.218606,182.716677,21.518176,55.000152,206.747380,1292.127549,2.123093
0.020000,94.622919,183.741860,22.703858,59.284110,214.197910,372.526497,2.072523
0.020000,94.040789,184.865402,23.969252,63.269677,199.278372,-745.976894,2.026391
0.020000,93.481039,186.071665,25.299061,66.490462,161.039217,-1911.957748,1.985282
0.020000,92.950841,187.339663,26.673443,68.719118,111.432807,-2480.320470,1.949421
0.020000,92.453636,188.649496,28.074470,70.051351,66.611673,-2241.056700,1.918643
0.020000,91.989661,189.984791,29.488078,70.680377,31.451313,-1758.018030,1.892549
0.020000,91.556333,191.335430,30.906527,70.922478,12.105035,-967.313911,1.870613
0.020000,91.150553,192.693240,32.323674,70.857320,-3.257924,-768.147910,1.852346
0.020000,90.769190,194.051150,33.734120,70.522295,-16.751246,-674.666122,1.837322
0.020000,90.409209,195.403088,35.133163,69.952155,-28.506963,-587.785838,1.825167
0.020000,90.067749,196.743845,36.516718,69.177782,-38.718674,-510.585572,1.815556
0.020000,89.742183,198.068954,37.881235,68.225849,-47.596650,-443.898789,1.808209
0.020000,89.430146,199.374563,39.223614,67.118962,-55.344340,-387.384514,1.802879
0.020000,89.129548,200.657334,40.541135,65.876015,-62.147379,-340.151935,1.799350
0.020000,88.838577,201.914349,41.831387,64.512624,-68.169543,-301.108193,1.797431
0.020000,88.555701,203.143038,43.092219,63.041577,-73.552334,-269.139548,1.796952
0.020000,88.279655,204.341113,44.321684,61.473251,-78.416291,-243.197882,1.797757
0.020000,88.009436,205.506516,45.518004,59.815992,-82.862981,-222.334504,1.799707
0.020000,87.744289,206.637377,46.679533,58.076449,-86.977116,-205.706716,1.802669
0.020000,87.483696,207.731982,47.804730,56.259879,-90.828536,-192.571021,1.806522
0.020000,87.227365,208.788746,48.892138,54.370399,-94.473964,-182.271389,1.811151
0.020000,86.975214,209.806191,49.940363,52.411229,-97.958501,-174.226849,1.816444
0.020000,86.727359,210.782932,50.948061,50.384891,-101.316895,-167.919722,1.822295
0.020000,86.484103,211.717666,51.913929,48.293398,-104.574646,-162.887525,1.828600
0.020000,86.245913,212.609163,52.836697,46.138419,-107.748964,-158.715896,1.835259
0.020000,86.013409,213.456263,53.715125,43.921426,-110.849666,-155.035094,1.842173
0.020000,85.787347,214.257874,54.548002,41.643825,-113.880037,-151.518566,1.849247
0.020000,85.568595,215.012967,55.334143,39.307072,-116.837661,-147.881208,1.856385
0.020000,85.358117,215.720583,56.072399,36.912766,-119.715290,-143.881463,1.863498
0.020000,85.156951,216.379828,56.761653,34.462732,-122.501717,-139.321313,1.870496
0.020000,84.966184,216.989878,57.400835,31.959079,-125.182628,-134.045588,1.877294
0.020000,84.786932,217.549978,57.988920,29.404249,-127.741500,-127.943599,1.883811
0.020000,84.620316,218.059446,58.524941,26.801041,-130.160425,-120.946202,1.889970
0.020000,84.467436,218.517668,59.007993,24.152623,-132.420873,-113.022444,1.895699
0.020000,84.329352,218.924103,59.437244,21.462534,-134.504446,-104.178631,1.900933
0.020000,84.207061,219.278278,59.811937,18.734666,-136.393437,-94.449547,1.905612
0.020000,84.101475,219.579789,60.131402,15.973238,-138.071376,-83.896970,1.909681
0.020000,84.013403,219.828300,60.395057,13.182770,-139.523416,-72.601979,1.913095
0.020000,83.943536,220.023536,60.602418,10.368037,-140.736617,-60.660066,1.915816
0.020000,83.892432,220.165286,60.753099,7.534034,-141.700170,-48.177631,1.917813
0.020000,83.860504,220.253398,60.846817,4.685924,-142.405511,-35.267048,1.919063
0.020000,83.845207,220.295491,60.891604,2.239336,-122.329367,1003.807194,1.919663
0.020000,83.840582,220.308204,60.905132,0.676388,-78.147409,2209.097903,1.919844
0.020000,83.840127,220.309454,60.906462,0.066505,-30.494156,2382.662624,1.919862
0.020000,83.840127,220.309454,60.906462,0.000000,-3.325254,1358.445135,1.919862
