dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,133.985202,93.400004,0.007841,0.784131,39.206552,1960.327615,3.140991
0.020000,133.920963,93.400127,0.072081,3.211991,121.393013,4109.323052,3.138382
0.020000,133.776629,93.401013,0.216418,7.216831,200.241969,3942.447774,3.132528
0.020000,133.536732,93.404353,0.456338,11.995989,238.957939,1935.798511,3.122821
0.020000,133.202354,93.412886,0.790825,16.724365,236.418766,-126.958631,3.109343
0.020000,132.775178,93.430335,1.218357,21.376615,232.612491,-190.313775,3.092215
0.020000,132.257637,93.461268,1.736821,25.923211,227.329815,-264.133802,3.071603
0.020000,131.653064,93.510924,2.343431,30.330470,220.362961,-348.342686,3.047729
0.020000,130.965811,93.584967,3.034660,34.561487,211.550862,-440.604981,3.020872
0.020000,130.201323,93.689205,3.806222,38.578055,200.828394,-536.123378,2.991374
0.020000,129.366116,93.829264,4.653091,42.343479,188.271205,-627.859471,2.959632
0.020000,128.467648,94.010272,5.569611,45.825977,174.124886,-707.315937,2.926095
0.020000,127.514091,94.236572,6.549653,49.002128,158.807550,-765.866787,2.891251
0.020000,126.513997,94.511499,7.586848,51.859726,142.879883,-796.383374,2.855604
0.020000,125.475925,94.837268,8.674836,54.399415,126.984479,-794.770160,2.819659
0.020000,124.408056,95.214962,9.807531,56.634747,111.766592,-760.894348,2.783900
0.020000,123.317855,95.644620,10.979343,58.590620,97.793657,-698.646749,2.748771
0.020000,122.211824,96.125404,12.185353,60.300457,85.491858,-615.089961,2.714662
0.020000,121.095350,96.655797,13.421406,61.802690,75.111645,-519.010651,2.681902
0.020000,119.972667,97.233813,14.684150,63.137187,66.724824,-419.341065,2.650758
0.020000,118.846889,97.857183,15.970993,64.342138,60.247566,-323.862899,2.621436
0.020000,117.720126,98.523498,17.280027,65.451713,55.478765,-238.440025,2.594088
0.020000,116.593616,99.230310,18.609918,66.494562,52.142434,-166.816549,2.568818
0.020000,115.467880,99.975190,19.959780,67.493082,49.926005,-110.821469,2.545698
0.020000,114.342877,100.755739,21.329045,68.463268,48.509280,-70.836247,2.524772
0.020000,113.218140,101.569581,22.717344,69.414923,47.582743,-46.326847,2.506070
0.020000,112.092892,102.414318,24.124385,70.352041,46.855895,-36.342397,2.489615
0.020000,110.966154,103.287478,25.549848,71.273187,46.057303,-39.929634,2.475432
0.020000,109.836827,104.186436,26.993283,72.171749,44.928133,-56.458481,2.463556
0.020000,108.703774,105.108331,28.454003,73.035958,43.210437,-85.884805,2.454044
0.020000,107.565886,106.049956,29.930974,73.848571,40.630641,-128.989802,2.446975
