dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,97.682272,173.837115,0.007816,0.781576,39.078780,1953.938980,3.490807
0.020000,97.644939,173.823506,0.047552,1.986820,60.262213,1059.171658,3.491480
0.020000,97.560929,173.792779,0.137005,4.472653,124.291636,3201.471161,3.492997
0.020000,97.420883,173.741233,0.286236,7.461542,149.444496,1257.642978,3.495536
0.020000,97.224758,173.668366,0.495460,10.461186,149.982180,26.884247,3.499115
0.020000,96.972499,173.573461,0.764980,13.476025,150.741931,37.987527,3.503757
0.020000,96.664043,173.455583,1.095193,16.510636,151.730583,49.432602,3.509495
0.020000,96.299323,173.313562,1.486588,19.569766,152.956480,61.294827,3.516366
0.020000,95.878280,173.145982,1.939755,22.658352,154.429300,73.641032,3.524419
0.020000,95.400872,172.951158,2.455386,25.781539,156.159374,86.503690,3.533707
0.020000,94.867090,172.727117,3.034280,28.944678,158.156947,99.878636,3.544294
0.020000,94.276979,172.471573,3.677346,32.153301,160.431113,113.708299,3.556252
0.020000,93.630662,172.181903,4.385607,35.413061,162.988007,127.844713,3.569663
0.020000,92.928378,171.855115,5.160200,38.729633,165.828623,142.030812,3.584617
0.020000,92.170522,171.487819,6.002370,42.108544,168.945536,155.845647,3.601213
0.020000,91.357704,171.076204,6.913469,45.554916,172.318584,168.652411,3.619557
0.020000,90.490820,170.616009,7.894931,49.073099,175.909147,179.528130,3.639765
0.020000,89.571139,170.102514,8.948254,52.666155,179.652803,187.182784,3.661954
0.020000,88.600416,169.530538,10.074957,56.335161,183.450318,189.875782,3.686246
0.020000,87.581018,168.894464,11.276523,60.078304,187.157155,185.341850,3.712758
0.020000,86.516081,168.188300,12.554318,63.889750,190.572288,170.756644,3.741599
0.020000,85.409671,167.405782,13.909484,67.758308,193.427897,142.780434,3.772859
0.020000,84.266969,166.540545,15.342804,71.665968,195.383019,97.756098,3.806602
0.020000,83.094423,165.586364,16.854533,75.586473,196.025258,32.111961,3.842847
0.020000,81.899881,164.537476,18.444217,79.484203,194.886472,-56.939308,3.881558
0.020000,80.692639,163.388982,20.110493,83.313771,191.478400,-170.403607,3.922627
